exchange,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6
10KSwap,0.132262278522719,0.1390336600868639,0.1174809123775468,0.1019430324025287,0.0878523864206262,0.0654253223085494
9inch,0.556062160650359,0.5333307877014167,0.5416981657596421,0.552270861178137,0.5463657884095374,0.5465926053464989
9mm V3 (Pulsechain),11.11491133881044,9.696243150253864,9.379364376641751,9.272797591741622,7.305836524321585,6.7018295963050845
9mm V3 (Base),0.0369831186994118,0.0424987651962836,0.0317393492918915,0.0216745018282503,0.0182783409123502,0.017637741048785
10KSwap,0.132262278522719,0.1390336600868639,0.1174809123775468,0.1019430324025287,0.0878523864206262,0.0654253223085494
9inch,0.556062160650359,0.5333307877014167,0.5416981657596421,0.552270861178137,0.5463657884095374,0.5465926053464989
9mm V3 (Pulsechain),11.11491133881044,9.696243150253864,9.379364376641751,9.272797591741622,7.305836524321585,6.7018295963050845
9mm V3 (Base),0.0369831186994118,0.0424987651962836,0.0317393492918915,0.0216745018282503,0.0182783409123502,0.017637741048785
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
10KSwap,0.132262278522719,0.1390336600868639,0.1174809123775468,0.1019430324025287,0.0878523864206262,0.0654253223085494
9inch,0.556062160650359,0.5333307877014167,0.5416981657596421,0.552270861178137,0.5463657884095374,0.5465926053464989
9mm V3 (Pulsechain),11.11491133881044,9.696243150253864,9.379364376641751,9.272797591741622,7.305836524321585,6.7018295963050845
9mm V3 (Base),0.0369831186994118,0.0424987651962836,0.0317393492918915,0.0216745018282503,0.0182783409123502,0.017637741048785
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
10KSwap,0.132262278522719,0.1390336600868639,0.1174809123775468,0.1019430324025287,0.0878523864206262,0.0654253223085494
9inch,0.556062160650359,0.5333307877014167,0.5416981657596421,0.552270861178137,0.5463657884095374,0.5465926053464989
9mm V3 (Pulsechain),0.0,0.0,0.0,0.0,0.0,0.0
9mm V3 (Base),0.0,0.0,0.0,0.0,0.0,0.0
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
10KSwap,0.132262278522719,0.1390336600868639,0.1174809123775468,0.1019430324025287,0.0878523864206262,0.0654253223085494
9inch,0.556062160650359,0.5333307877014167,0.5416981657596421,0.552270861178137,0.5463657884095374,0.5465926053464989
9mm V3 (Pulsechain),11.11491133881044,9.696243150253864,9.379364376641751,9.272797591741622,7.305836524321585,6.7018295963050845
9mm V3 (Base),0.0369831186994118,0.0424987651962836,0.0317393492918915,0.0216745018282503,0.0182783409123502,0.017637741048785
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
10KSwap,0.1327269886214042,0.1396477334718156,0.1188378430152718,0.1025740822373984,0.0903218338571362,0.067852614176052
9inch,0.5560851452522789,0.5332268830131283,0.5408894398252722,0.5523981529448053,0.5464726087412619,0.5466962163365291
9mm V3 (Pulsechain),11.081624813037305,9.644218591359913,9.391349148848436,9.234969445782164,7.223786139708779,6.697636425703775
9mm V3 (Base),0.0372379561836065,0.0425686846858981,0.0307863254212454,0.0216602310282932,0.0181107792264609,0.0176337436450582
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
10KSwap,0.13272698862140422,0.13964773347181564,0.1188378430152718,0.10257408223739849,0.09032183385713626,0.06785261417605201
9inch,0.5560851452522789,0.5332268830131283,0.5408894398252722,0.5523981529448053,0.5464726087412619,0.5466962163365291
9mm V3 (Pulsechain),11.057105716640317,9.57813737454115,9.440933040351302,8.980617703836119,6.944638345350963,6.771159375957438
9mm V3 (Base),0.03744634212960634,0.04262435739878643,0.028624644755991593,0.0214758398023847,0.01764830156285384,0.017579203323268917
9mm V3 (Sonic),0.0,0.0,0.0,0.0,0.0,0.0
